date,campaign,revenue,ad_spend,impressions,clicks,add_to_cart,purchases
2026-01-01,Campaign A,5000,1200,50000,2500,300,50
2026-01-02,Campaign A,5200,1250,52000,2600,310,52
2026-01-03,Campaign A,4800,1180,48000,2400,290,48
2026-01-04,Campaign A,5500,1300,55000,2750,330,55
2026-01-05,Campaign A,5300,1280,53000,2650,320,53
2026-01-01,Campaign B,3500,1500,45000,2000,200,35
2026-01-02,Campaign B,3600,1520,46000,2100,210,36
2026-01-03,Campaign B,3400,1480,44000,1950,195,34
2026-01-04,Campaign B,3700,1550,47000,2150,220,37
2026-01-05,Campaign B,3550,1500,45500,2050,205,35
2026-01-01,Campaign C,2000,2500,60000,1500,100,20
2026-01-02,Campaign C,2100,2550,61000,1550,105,21
2026-01-03,Campaign C,1950,2480,59000,1480,98,19
2026-01-04,Campaign C,2150,2600,62000,1600,110,22
2026-01-05,Campaign C,2050,2520,60500,1520,102,20
2026-01-01,Campaign D,8000,2000,70000,3500,500,80
2026-01-02,Campaign D,8200,2050,72000,3600,520,82
2026-01-03,Campaign D,7800,1980,68000,3400,490,78
2026-01-04,Campaign D,8500,2100,75000,3750,550,85
2026-01-05,Campaign D,8100,2020,71000,3550,510,81

